Location,Status,Prosto,Na voljo,Datum
Kranjčeva ulica,Prosto,79,117,2025-03-17 21:48
Linhartova,Prosto,114,50,2025-03-17 21:48
Metelkova ulica,Prosto,38,89,2025-03-17 21:48
Mirje,Prosto,93,107,2025-03-17 21:48
P+R Barje,Odprto,,,2025-03-17 21:48
P+R Dolgi Most,Odprto,,,2025-03-17 21:48
P+R Studenec,Odprto,,,2025-03-17 21:48
PH Kolezija,Prosto,72,80,2025-03-17 21:48
Pokopališče Polje,Prosto,37,39,2025-03-17 21:48
Povšetova ulica,Prosto,58,81,2025-03-17 21:48
Sanatorij Emona,Prosto,15,25,2025-03-17 21:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 21:48
Tivoli I.,Prosto,275,351,2025-03-17 21:48
Tivoli II.,Prosto,149,159,2025-03-17 21:48
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 21:48
Trg prekomorskih brigad,Prosto,34,61,2025-03-17 21:48
Štembalova ulica,Zasedeno,/,155,2025-03-17 21:48
Žale I.,Prosto,76,125,2025-03-17 21:48
Žale II.,Prosto,56,80,2025-03-17 21:48
Žale III.,Prosto,50,83,2025-03-17 21:48
Žale IV.,Prosto,77,78,2025-03-17 21:48
Žale V.,Prosto,285,100,2025-03-17 21:48
P+R Ježica,Odprto,,,2025-03-17 21:48
P+R Stanežiče,Odprto,,,2025-03-17 21:48
ŠRC Stožice,Prosto,/,509,2025-03-17 21:48
Tacen,Prosto,/,/,2025-03-17 21:48
Bratislavska,Prosto,/,/,2025-03-17 21:48
BS4,Prosto,30,100,2025-03-17 21:48
PH Rog,Prosto,21,80,2025-03-17 21:48
P+R Letališka,Odprto,,,2025-03-17 21:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 21:48
Bežigrad,Prosto,38,64,2025-03-17 22:04
Dolenjska cesta (Strelišče),Prosto,65,67,2025-03-17 22:04
Gosarjeva ulica,Prosto,40,190,2025-03-17 22:04
